symbol,name,sector
RELIANCE,Reliance Industries,Nifty Energy
TCS,Tata Consultancy Services,Nifty IT
HDFCBANK,HDFC Bank,Nifty Bank
INFY,Infosys,Nifty IT
ICICIBANK,ICICI Bank,Nifty Bank
HINDUNILVR,Hindustan Unilever,Nifty FMCG
ITC,ITC,Nifty FMCG
SBIN,State Bank of India,Nifty Bank
BHARTIARTL,Bharti Airtel,Nifty MNC
KOTAKBANK,Kotak Mahindra Bank,Nifty Bank
LT,Larsen & Toubro,Nifty Infra
HCLTECH,HCL Technologies,Nifty IT
AXISBANK,Axis Bank,Nifty Bank
ASIANPAINT,Asian Paints,Nifty Consumer Durables
MARUTI,Maruti Suzuki,Nifty Auto
SUNPHARMA,Sun Pharmaceutical,Nifty Pharma
BAJFINANCE,Bajaj Finance,Nifty Financial Services
WIPRO,Wipro,Nifty IT
ULTRACEMCO,UltraTech Cement,Nifty Infra
NESTLEIND,Nestle India,Nifty FMCG
TITAN,Titan Company,Nifty Consumer Durables
POWERGRID,Power Grid Corporation,Nifty Energy
NTPC,NTPC,Nifty Energy
M&M,Mahindra & Mahindra,Nifty Auto
TECHM,Tata Elxsi,Nifty IT
TATAMOTORS,Tata Motors,Nifty Auto
INDUSINDBK,IndusInd Bank,Nifty Bank
ADANIENT,Adani Enterprises,Nifty Infra
ADANIPORTS,Adani Ports,Nifty Infra
JSWSTEEL,JSW Steel,Nifty Metal
TATASTEEL,Tata Steel,Nifty Metal
ONGC,Oil and Natural Gas Corporation,Nifty Oil & Gas
COALINDIA,Coal India,Nifty Energy
HINDALCO,Hindalco Industries,Nifty Metal
GRASIM,Grasim Industries,Nifty Diversified
BAJAJFINSV,Bajaj Finserv,Nifty Financial Services
CIPLA,Cipla,Nifty Pharma
DRREDDY,Dr Reddys Laboratories,Nifty Pharma
EICHERMOT,Eicher Motors,Nifty Auto
HEROMOTOCO,Hero MotoCorp,Nifty Auto
BRITANNIA,Britannia Industries,Nifty FMCG
DIVISLAB,Divis Laboratories,Nifty Pharma
APOLLOHOSP,Apollo Hospitals,Nifty Healthcare
HDFCLIFE,HDFC Life Insurance,Nifty Financial Services
SBILIFE,SBI Life Insurance,Nifty Financial Services
ICICIPRULI,ICICI Prudential Life Insurance,Nifty Financial Services
BPCL,Bharat Petroleum,Nifty Oil & Gas
IOC,Indian Oil Corporation,Nifty Oil & Gas
TATACONSUM,Tata Consumer Products,Nifty FMCG
PIDILITIND,Pidilite Industries,Nifty Consumer Durables
GODREJCP,Godrej Consumer Products,Nifty FMCG
MARICO,Marico,Nifty FMCG
DABUR,Dabur India,Nifty FMCG
COLPAL,Colgate-Palmolive India,Nifty FMCG
SIEMENS,Siemens,Nifty Capital Goods
HAVELLS,Havells India,Nifty Consumer Durables
VOLTAS,Voltas,Nifty Consumer Durables
LUPIN,Lupin,Nifty Pharma
AUROPHARMA,Aurobindo Pharma,Nifty Pharma
BIOCON,Biocon,Nifty Pharma
CADILAHC,Cadila Healthcare,Nifty Pharma
GLAND,GlaxoSmithKline Pharma,Nifty Pharma
SANOFI,Sanofi India,Nifty Pharma
ABB,ABB India,Nifty Capital Goods
ACC,ACC,Nifty Infra
AMBUJACEM,Ambuja Cements,Nifty Infra
DALBHARAT,Dalmia Bharat,Nifty Infra
SHREECEM,Shree Cement,Nifty Infra
DLF,DLF,Nifty Realty
GODREJPROP,Godrej Properties,Nifty Realty
OBEROIRLTY,Oberoi Realty,Nifty Realty
PRESTIGE,Prestige Estates Projects,Nifty Realty
BRIGADE,Brigade Enterprises,Nifty Realty
PHOENIXLTD,Phoenix Mills,Nifty Realty
MINDTREE,MindTree,Nifty IT
MPHASIS,MPHASIS,Nifty IT
LTTS,L&T Technology Services,Nifty IT
PERSISTENT,Persistent Systems,Nifty IT
COFORGE,Coforge,Nifty IT
LTIM,LTIMindtree,Nifty IT
OFSS,Oracle Financial Services Software,Nifty IT
NAUKRI,Info Edge (Naukri),Nifty IT
NIITLTD,NIIT Technologies,Nifty IT
KPITTECH,KPIT Technologies,Nifty IT
ZENSARTECH,Zensar Technologies,Nifty IT
TATAELXSI,Tata Elxsi,Nifty IT
BOSCHLTD,Bosch,Nifty Auto
MOTHERSON,Samvardhana Motherson,Nifty Auto
BHARATFORG,Bharat Forge,Nifty Auto
BALKRISIND,Balkrishna Industries,Nifty Auto
MRF,MRF,Nifty Auto
APOLLOTYRE,Apollo Tyres,Nifty Auto
CEAT,CEAT,Nifty Auto
EXIDEIND,Exide Industries,Nifty Auto
AMARAJABAT,Amara Raja Batteries,Nifty Auto
TVSMOTOR,TVS Motor Company,Nifty Auto
ASHOKLEY,Ashok Leyland,Nifty Auto
ESCORTS,Escorts,Nifty Auto
BAJAJHLDNG,Bajaj Holdings,Nifty Diversified
CHOLAFIN,Cholamandalam Investment,Nifty Financial Services
SBICARD,SBI Cards,Nifty Financial Services
PNB,Punjab National Bank,Nifty PSU Bank
BANKBARODA,Bank of Baroda,Nifty PSU Bank
CANBK,Canara Bank,Nifty PSU Bank
