date,equity
2024-08-01,1.0
2024-08-02,1.0
2024-08-05,1.0
2024-08-06,1.0
2024-08-07,1.0
2024-08-08,1.0
2024-08-09,1.0
2024-08-12,1.0
2024-08-13,1.0
2024-08-14,1.0
2024-08-15,1.0
2024-08-16,1.0
2024-08-19,1.0
2024-08-20,1.0
2024-08-21,1.0
2024-08-22,1.0
2024-08-23,1.0
2024-08-26,1.0
2024-08-27,1.0
2024-08-28,1.0
2024-08-29,1.0
2024-08-30,1.0
2024-09-02,1.0
2024-09-03,1.0
2024-09-04,1.0
2024-09-05,1.0
2024-09-06,1.0
2024-09-09,1.0
2024-09-10,1.0
2024-09-11,1.0
2024-09-12,1.0
2024-09-13,1.0
2024-09-16,1.0
2024-09-17,1.0
2024-09-18,1.0
2024-09-19,1.0
2024-09-20,1.0
2024-09-23,1.0
2024-09-24,1.0
2024-09-25,1.0
2024-09-26,1.0
2024-09-27,1.0
2024-09-30,1.0
2024-10-01,1.0
2024-10-02,1.0
2024-10-03,1.0
2024-10-04,1.0
2024-10-07,1.0
2024-10-08,1.0
2024-10-09,1.0
2024-10-10,1.0
2024-10-11,1.0
2024-10-14,1.0
2024-10-15,1.0
2024-10-16,1.0
2024-10-17,1.0
2024-10-18,1.0
2024-10-21,1.0
2024-10-22,1.0
2024-10-23,1.0
2024-10-24,1.0
2024-10-25,1.0
2024-10-28,1.0
2024-10-29,1.0
2024-10-30,1.0
2024-10-31,1.0
2024-11-01,1.0
2024-11-04,1.0
2024-11-05,1.0
2024-11-06,1.0
2024-11-07,1.0
2024-11-08,1.0
2024-11-11,1.0
2024-11-12,1.0
2024-11-13,1.0
2024-11-14,1.0
2024-11-15,1.0
2024-11-18,1.0
2024-11-19,1.0
2024-11-20,1.0
2024-11-21,1.0
2024-11-22,1.0
2024-11-25,1.0
2024-11-26,1.0
2024-11-27,1.0
2024-11-28,1.0
2024-11-29,1.0
2024-12-02,1.0
2024-12-03,1.0
2024-12-04,1.0
2024-12-05,1.0
2024-12-06,1.0
2024-12-09,1.0
2024-12-10,1.0
2024-12-11,1.0
2024-12-12,1.0
2024-12-13,1.0
2024-12-16,1.0
2024-12-17,1.0
2024-12-18,1.0
2024-12-19,1.0
2024-12-20,1.0
2024-12-23,1.0
2024-12-24,1.0
2024-12-25,1.0
2024-12-26,1.0
2024-12-27,1.0
2024-12-30,1.0
2024-12-31,1.0
2025-01-01,1.0
2025-01-02,1.0
2025-01-03,1.0
2025-01-06,1.0
2025-01-07,1.0
2025-01-08,1.0
2025-01-09,1.0
2025-01-10,1.0
2025-01-13,1.0
2025-01-14,1.0
2025-01-15,1.0
2025-01-16,1.0
2025-01-17,1.0
2025-01-20,1.0
2025-01-21,1.0
2025-01-22,1.0
2025-01-23,1.0
2025-01-24,1.0
2025-01-27,1.0
2025-01-28,1.0
2025-01-29,1.0
2025-01-30,1.0
2025-01-31,1.0
2025-02-03,1.0
2025-02-04,1.0
2025-02-05,1.0
2025-02-06,1.0
2025-02-07,1.0
2025-02-10,1.0
2025-02-11,1.0
2025-02-12,1.0
2025-02-13,1.0
2025-02-14,1.0
2025-02-17,1.0
2025-02-18,1.0
2025-02-19,1.0
2025-02-20,1.0
2025-02-21,1.0
2025-02-24,1.0
2025-02-25,1.0
2025-02-26,1.0
2025-02-27,1.0
2025-02-28,1.0
2025-03-03,1.0
2025-03-04,1.0
2025-03-05,1.0
2025-03-06,1.0
2025-03-07,1.0
2025-03-10,1.0
2025-03-11,1.0
2025-03-12,1.0
2025-03-13,1.0
2025-03-14,1.0
2025-03-17,1.0
2025-03-18,1.0
2025-03-19,1.0
2025-03-20,1.0
2025-03-21,1.0
2025-03-24,1.0
2025-03-25,1.0
2025-03-26,1.0
2025-03-27,1.0
2025-03-28,1.0
2025-03-31,1.0
2025-04-01,1.0
2025-04-02,1.0
2025-04-03,1.0
2025-04-04,1.0
2025-04-07,1.0
2025-04-08,1.0
2025-04-09,1.0
2025-04-10,1.0
2025-04-11,1.0
2025-04-14,1.0
2025-04-15,1.0
2025-04-16,1.0
2025-04-17,1.0
2025-04-18,1.0
2025-04-21,1.0
2025-04-22,1.0
2025-04-23,1.0
2025-04-24,1.0
2025-04-25,1.0
2025-04-28,1.0
2025-04-29,1.0
2025-04-30,1.0
2025-05-01,1.0
2025-05-02,1.0
2025-05-05,1.0
2025-05-06,1.0
2025-05-07,1.0
2025-05-08,1.0
2025-05-09,1.0
2025-05-12,1.0
2025-05-13,1.0
2025-05-14,1.0
2025-05-15,1.0
2025-05-16,1.0
2025-05-19,1.0
2025-05-20,1.0
2025-05-21,1.0
2025-05-22,1.0
2025-05-23,1.0
2025-05-26,1.0
2025-05-27,1.0
2025-05-28,1.0
2025-05-29,1.0
2025-05-30,1.0
2025-06-02,1.0
2025-06-03,1.0
2025-06-04,1.0
2025-06-05,1.0
2025-06-06,1.0040441180787294
2025-06-09,1.0041239318099937
2025-06-10,1.002879388041795
2025-06-11,1.0029102126552487
2025-06-12,1.0005163511568422
2025-06-13,1.0020388668856517
2025-06-16,0.999462809904152
2025-06-17,0.9982612004189781
2025-06-18,0.995490287845288
2025-06-19,0.9953587316435959
2025-06-20,0.9953587316435959
2025-06-23,0.9953587316435959
2025-06-24,0.9953587316435959
2025-06-25,0.9953587316435959
2025-06-26,0.9953587316435959
2025-06-27,0.9953587316435959
2025-06-30,0.9953587316435959
2025-07-01,0.9953587316435959
2025-07-02,0.9953587316435959
2025-07-03,0.9953587316435959
2025-07-04,0.9953587316435959
2025-07-07,0.9953587316435959
2025-07-08,0.9953587316435959
2025-07-09,0.9953587316435959
2025-07-10,0.9953587316435959
2025-07-11,0.9953587316435959
2025-07-14,0.9953587316435959
2025-07-15,0.9953587316435959
2025-07-16,0.9953587316435959
2025-07-17,0.9953587316435959
2025-07-18,0.9953587316435959
2025-07-21,0.9953587316435959
2025-07-22,0.9953587316435959
2025-07-23,0.9953587316435959
2025-07-24,0.9953587316435959
2025-07-25,0.9953587316435959
2025-07-28,0.9953587316435959
2025-07-29,0.9953587316435959
2025-07-30,0.9953587316435959
2025-07-31,0.9953587316435959
2025-08-01,0.9953587316435959
2025-08-04,0.9953587316435959
2025-08-05,0.9953587316435959
2025-08-06,0.9953587316435959
2025-08-07,0.9953587316435959
2025-08-08,0.9953587316435959
2025-08-11,0.9953587316435959
2025-08-12,0.9953587316435959
2025-08-13,0.9953587316435959
2025-08-14,0.9953587316435959
2025-08-15,0.9953587316435959
2025-08-18,0.9953587316435959
2025-08-19,0.9953587316435959
2025-08-20,0.9953587316435959
2025-08-21,0.9953587316435959
2025-08-22,0.9953587316435959
2025-08-25,0.9953587316435959
2025-08-26,0.9953587316435959
2025-08-27,0.9953587316435959
2025-08-28,0.9953587316435959
2025-08-29,0.9953587316435959
2025-09-01,0.9953587316435959
2025-09-02,0.9953587316435959
2025-09-03,0.9953587316435959
2025-09-04,0.9953587316435959
2025-09-05,0.9953587316435959
2025-09-08,0.9953587316435959
2025-09-09,0.9953587316435959
2025-09-10,0.9953587316435959
2025-09-11,0.9953587316435959
2025-09-12,0.9953587316435959
2025-09-15,0.9953587316435959
2025-09-16,0.9953587316435959
2025-09-17,0.9953587316435959
2025-09-18,0.9953587316435959
2025-09-19,0.9953587316435959
2025-09-22,0.9953587316435959
2025-09-23,0.9953587316435959
2025-09-24,0.9953587316435959
2025-09-25,0.9953587316435959
2025-09-26,0.9953587316435959
2025-09-29,0.9953587316435959
2025-09-30,0.9953587316435959
2025-10-01,0.9953587316435959
2025-10-02,0.9953587316435959
2025-10-03,0.9953587316435959
2025-10-06,0.9953587316435959
2025-10-07,0.9953587316435959
2025-10-08,0.9953587316435959
2025-10-09,0.9953587316435959
2025-10-10,0.9953587316435959
2025-10-13,0.9953587316435959
2025-10-14,0.9953587316435959
2025-10-15,0.9953587316435959
2025-10-16,0.9953587316435959
2025-10-17,0.9953587316435959
2025-10-20,0.9953587316435959
2025-10-21,0.9953587316435959
2025-10-22,0.9953587316435959
2025-10-23,0.9953587316435959
2025-10-24,0.9953587316435959
2025-10-27,0.9953587316435959
2025-10-28,0.9953587316435959
2025-10-29,0.9953587316435959
2025-10-30,0.9953587316435959
2025-10-31,0.9953587316435959
2025-11-03,0.9953587316435959
2025-11-04,0.9953587316435959
2025-11-05,0.9953587316435959
2025-11-06,0.9953587316435959
2025-11-07,0.9953587316435959
2025-11-10,0.9953587316435959
2025-11-11,0.9953587316435959
2025-11-12,0.9953587316435959
2025-11-13,0.9953587316435959
2025-11-14,0.9953587316435959
2025-11-17,0.9953587316435959
2025-11-18,0.9953587316435959
2025-11-19,0.9953587316435959
2025-11-20,0.9953587316435959
2025-11-21,0.9953587316435959
2025-11-24,0.9953587316435959
2025-11-25,0.9953587316435959
2025-11-26,0.9953587316435959
2025-11-27,0.9953587316435959
2025-11-28,0.9953587316435959
2025-12-01,0.9953587316435959
2025-12-02,0.9953587316435959
2025-12-03,0.9953587316435959
2025-12-04,0.9953587316435959
2025-12-05,0.9953587316435959
2025-12-08,0.9953587316435959
2025-12-09,0.9953587316435959
2025-12-10,0.9953587316435959
2025-12-11,0.9953587316435959
2025-12-12,0.9953587316435959
2025-12-15,0.9953587316435959
2025-12-16,0.9953587316435959
2025-12-17,0.9953587316435959
2025-12-18,0.9953587316435959
2025-12-19,0.9953587316435959
2025-12-22,0.9953587316435959
2025-12-23,0.9953587316435959
2025-12-24,0.9953587316435959
2025-12-25,0.9953587316435959
2025-12-26,0.9953587316435959
2025-12-29,0.9953587316435959
2025-12-30,0.9953587316435959
2025-12-31,0.9953587316435959
2026-01-01,0.9953587316435959
2026-01-02,0.9953587316435959
2026-01-05,0.9953587316435959
2026-01-06,0.9953587316435959
2026-01-07,0.9953587316435959
2026-01-08,0.9953587316435959
2026-01-09,0.9953587316435959
2026-01-12,0.9953587316435959
2026-01-13,0.9940621196339564
2026-01-14,0.9931273558444397
2026-01-15,0.9968026893808063
2026-01-16,0.9956778407536756
2026-01-19,0.993604457986576
2026-01-20,0.9918912643862053
2026-01-21,0.991219217282766
2026-01-22,0.9910877911785922
2026-01-23,0.9910877911785922
2026-01-26,0.9910877911785922
2026-01-27,0.9910877911785922
2026-01-28,0.9910877911785922
2026-01-29,0.9910877911785922
2026-01-30,0.9910877911785922
2026-02-02,0.9910877911785922
2026-02-03,0.9910877911785922
2026-02-04,0.9910877911785922
2026-02-05,0.9910877911785922
2026-02-06,0.9910877911785922
2026-02-09,0.9910877911785922
2026-02-10,0.9910877911785922
2026-02-11,0.9910877911785922
2026-02-12,0.9910877911785922
2026-02-13,0.9910877911785922
2026-02-16,0.9910877911785922
